Goal,Issue,Hair Type,Hair Texture,Wash Hair,Treatments,Hair Behaviour,Scalp Feeling,Scalp Flaky,Oily Scalp,Dry Scalp,REC Shampoo MTH,REC Shampoo WK,REC Conditioner,REC Conditioner 2,REC Other ,DRYNESS,DAMAGE,SENSITIVITY,SEBUM Oil,DRY SCALP,FLAKES,Base_Name,Unique_ID
Growth,Thinning hair,Type 4c,Medium,Twice a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,5 + Days,Within hours,DesignEssentialsOatProtein&HennaFullerThickerStrongerDeepCleansingShampooHighRated,SheaMoistureOrganicRawSheaButterMoistureRetentionShampoo,x,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,41.095001410775794,39.32769848940996,72.23271364219029,1.3538367421668764,63.373974253267676,37.54483140358661,Nadine,Nadine #1
Healthy Hair,Split ends / hair breakage,Type 4c,Thick,About once a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",Sensitive,Yes Rarely,My scalp gets dry not oily,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,AsIAmLeaveInConditioner237ml/8FlOz.,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,30.851280106831478,9.362726975151594,0.0,0.0,1.0999435903129458,0.0,Caz Jo,Caz Jo #1
Healthy Hair,Split ends / hair breakage,Type 4c,Thin or Fine,About once a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",Itchy & painful,No Not Me,My scalp gets dry not oily,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,SheaMoistureJamaicanBlackCastorOilStrengthen/GrowAndRestoreLeaveInConditioner16Oz,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,3.194955721925422,0.0,10.665395331109153,7.938688888311754,0.0,0.0,L JONES,L JONES #1
Healthy Hair,Split ends / hair breakage,Type 4b,Thick,More than once a week,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,5 + Days,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,GiovanniDirectLeaveInConditioner–HighRated,CamilleRoseCurlLoveMoistureMilk,KeraCare®EssentialOilsOilSealant/MoistureLock/Nourishment.50,0.0,4.165732083915926,8.574865089141458,59.68197107613435,13.585713522893412,0.0,Yinka,Yinka #1
Moisture retention,Split ends / hair breakage,Type 4b,Medium,About once a month,Colour / Dyed,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",Sensitive,No Not Me,1 - 2 Days,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,CamilleRoseNaturalsMoroccanPearConditioningCustardForLowPorosity,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,0.0,0.0,0.0,6.150761995619002,0.0,0.0,Peggy,Peggy #1
Growth,Thinning hair,Type 4c,Medium,About once a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,3 - 4 Days,1 - 2 Days,SheaMoistureJamaicanBlackCastorOilStrengthenAndRestoreShampoo,AsIAmDry&ItchyScalpCareOlive&TeaTreeOilCoWash,SheaMoistureManukaHoney&MafuraOilConditioner,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,62.07116337167983,2.6069496154403455,0.0,0.0,76.5534594159555,39.2746998826139,Christina Tav,Christina Tav #1
Moisture retention,Split ends / hair breakage,Type 4b,Thick,About once a month,Colour / Dyed,"A -Repels moisture when wet,hair is also prone to build up, oils don’t penetrate quickly, often very shiny, resists penetration of chemicals.",None of the above,No Not Me,5 + Days,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AsIAmDry&ItchyScalpCareOlive&TeaTreeOilCoWash,SheaMoistureManukaHoney&MafuraOilConditioner,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,9.00849126798057,0.0,0.0,0.0,37.259054256757665,0.0,Yavonne,Yavonne #1
Growth,Split ends / hair breakage,Type 4c,Thick,About once a month,Colour / Dyed,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",Itchy,No Not Me,My scalp gets dry not oily,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,SheaMoistureRawSheaButterRestorativeConditioner,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,66.74727063469568,0.0,0.0,15.32444002519906,57.034002513448215,0.0,Samantha M,Samantha M #1
Healthy Hair,Not me,Type 4b,Medium,Once a week,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,3 - 4 Days,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AsIAmCurlClarityShampooNP,CamilleRoseNaturalsMoroccanPearConditioningCustardForLowPorosity,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,104.00322305047366,14.226042612624006,8.216436975058924,6.523648032349931,0.0,5.856433992031946,Melanie,Melanie #1
Moisture retention,Not me,Type 4c,Thin or Fine,About once a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",Sensitive,Yes Always,1 - 2 Days,1 - 2 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AsIAmCurlClarityShampooNP,GiovanniDirectLeaveInConditioner–HighRated,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,20.310090282474366,0.0,0.0,116.63740282933468,9.932479250027184,2.542610243637985,Yinka,Yinka #2
Growth,Split ends / hair breakage,Type 4b,Thick,Twice a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,5 + Days,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,PrePooFaithInNatureNaturalAvocadoConditionerNourishingVegan,SheaMoistureJamaicanBlackCastorOilStrengthen/GrowAndRestoreLeaveInConditioner16Oz,CamilleRoseCurlLoveMoistureMilk,AfricanPrideMoistureMiracleAloe&CoconutWaterPreShampoo,88.60824839405879,29.578633514609294,34.16039515325851,0.6879971899856796,86.70684796423706,3.3965077542241726,Beverley A,Beverley A #1
Moisture retention,Not me,Type 4c,Thick,Once a week,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,Yes Rarely,My scalp gets dry not oily,3 - 5 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,TginMoistureRichSulfateFreeShampooForNaturalHair,GiovanniDirectLeaveInConditioner–HighRated,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,113.8857683818177,48.46135948312722,0.0,14.122695739258123,69.41366985468088,35.40672447688816,Tara G,Tara G #1
Moisture retention,Split ends / hair breakage,Type 4b,Thin or Fine,About once a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",Sensitive,No Not Me,3 - 4 Days,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,SheaMoistureJamaicanBlackCastorOilStrengthen/GrowAndRestoreLeaveInConditioner16Oz,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,9.015892891526878,0.09312675813322609,0.0,3.604971971655814,0.7244534939874872,7.837932543068854,Nomfundo,Nomfundo #1
Moisture retention,Scalp dryness,Type 4c,Medium,Once a week,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",Itchy,No Not Me,My scalp gets dry not oily,1 - 2 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,SheaMoistureRawSheaButterExtraMoistureDetangler,AsIAmLeaveInConditioner237ml/8FlOz.,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,0.0,23.334710526184463,5.515755685845622,0.0,0.0,0.0,Ron,Ron #1
Growth,Split ends / hair breakage,Type 4c,Thin or Fine,About once a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,5 + Days,Within hours,SheaMoistureJamaicanBlackCastorOilStrengthenAndRestoreShampoo,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,CamilleRoseCurlLoveMoistureMilk,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,14.990488489417173,28.006223488043684,3.7481096340123043,40.289845855811244,99.59529294199733,0.0,Ron,Ron #2
Moisture retention,Scalp dryness,Type 4c,Thick,Twice a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,My scalp gets dry not oily,Within hours,SheaMoistureJamaicanBlackCastorOilStrengthenAndRestoreShampoo,DesignEssentialsOatProtein&HennaFullerThickerStrongerDeepCleansingShampoo,GiovanniDirectLeaveInConditioner–HighRated,MielleOrganicsMongongoOilHydratingConditioner–NOProtein,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,95.54956515343933,40.790276949166504,0.0,0.0,11.228720777734775,68.91350474724106,L JONES,L JONES #2
Growth,Split ends / hair breakage,Type 4c,Thin or Fine,Twice a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,5 + Days,Within hours,SheaMoistureJamaicanBlackCastorOilStrengthenAndRestoreShampoo,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,SheaMoistureJamaicanBlackCastorOilStrengthen/GrowAndRestoreLeaveInConditioner16Oz,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,17.50367062762909,0.0,0.0,5.2533471235548745,108.18866277795738,0.0,Tara G,Tara G #2
